"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","should reject invalid URL format","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","293","should prevent submission with only email filled","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","726","(@T24) should update email badge periodically","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","205","should require confirmation before approving application","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","933","should display ""Details"" link in info section on home page","chromium","2026-09-16","passed","2026-09-16","Ukrainian School Page","school.spec.ts","",""
"","219","(@T19) should display email badge with unread count","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","5294","каталог має загальну шапку з кнопкою 'Додати спеціаліста'","chromium","2026-09-16","failed","2026-09-16","","site.spec.js","",""
"","767","school CTA button should be centered on mobile devices","chromium","2026-09-16","passed","2026-09-16","Homepage & Navigation E2E > School CTA layout and spacing requirements","home.spec.ts","",""
"","216","should have price pattern validation (no letters)","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","30044","should open edit modal with populated data","chromium","2026-09-16","broken","2026-09-16","CRM Panel E2E","crm.spec.ts","",""
"","535","каталог динамічно перекладає елементи без перезавантаження","chromium","2026-09-16","passed","2026-09-16","Language toggle (UA / EN)","i18n.spec.ts","",""
"","259","should accept valid telegram formats","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","239","should accept valid subcategory","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","551","should preserve language selection after page reload","chromium","2026-09-16","passed","2026-09-16","Ukrainian School Page","school.spec.ts","",""
"","268","@T7 should close inaccuracy report modal when cancel button is clicked","chromium","2026-09-16","passed","2026-09-16","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","30048","@T11 Auxiliary suggestion field must be hidden during regular edits or creating new cards","chromium","2026-09-16","broken","2026-09-16","Error Reports Requirements (Звіти про помилки)","error-reports.spec.ts","",""
"","209","should require confirmation before saving edit and proceed on accept","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","203","@T5 should generate email with formatted links in HTML","chromium","2026-09-16","passed","2026-09-16","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","30047","@T9 Admin should be able to open edit form from an error report card with pre-populated data","chromium","2026-09-16","broken","2026-09-16","Error Reports Requirements (Звіти про помилки)","error-reports.spec.ts","",""
"","230","@T2 should display ""Report Inaccuracy"" button when modal is opened","chromium","2026-09-16","passed","2026-09-16","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","228","should load the admin login page","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","251","should reject name with less than 2 characters","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","1115","Pairwise & Equivalence Partitioning: Інші комбінації одного контакту","chromium","2026-09-16","passed","2026-09-16","Form E2E - Boundary Values, Pairwise & Validation","form.spec.ts","",""
"","30021","should show error on wrong credentials","chromium","2026-09-16","broken","2026-09-16","CRM Panel E2E","crm.spec.ts","",""
"","6","sitemap.xml should be served and contain all public pages","chromium","2026-09-16","passed","2026-09-16","SEO & Search Indexing Optimization","seo.spec.ts","",""
"","233","should have proper labels for all form fields","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","232","should reject telegram with special SQL characters","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","39","hero video should be the actual high-quality drone video (file size check)","chromium","2026-09-16","passed","2026-09-16","Homepage & Navigation E2E","home.spec.ts","",""
"","271","should accept valid phone formats","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","1591","should paginate live catalog 50 per page with working prev/next buttons","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","5261","should load dashboard with statistics","chromium","2026-09-16","failed","2026-09-16","CRM Panel E2E","crm.spec.ts","",""
"","234","should accept description with exactly 5 chars","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","438","Equivalence Partitioning: Невалідні формати контактів (Phone, Telegram, Price)","chromium","2026-09-16","passed","2026-09-16","Form E2E - Boundary Values, Pairwise & Validation","form.spec.ts","",""
"","30048","@T10 Admin should see an auxiliary field with suggested changes and copy button when editing a report","chromium","2026-09-16","broken","2026-09-16","Error Reports Requirements (Звіти про помилки)","error-reports.spec.ts","",""
"","219","should restrict URL fields to HTTP(S) only via type=url","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","719","should show warning when rejecting application without valid email","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","5294","пошук фільтрує картки за іменем/описом/підкатегорією","chromium","2026-09-16","failed","2026-09-16","","site.spec.js","",""
"","5213","should load CRM login page","chromium","2026-09-16","failed","2026-09-16","CRM Panel E2E","crm.spec.ts","",""
"","30024","should display emails from API","chromium","2026-09-16","broken","2026-09-16","CRM Panel E2E","crm.spec.ts","",""
"","241","should reject description less than 5 chars","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","1800","should reject form with no contacts provided","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","855","should toggle language back to Ukrainian correctly","chromium","2026-09-16","passed","2026-09-16","Ukrainian School Page","school.spec.ts","",""
"","236","should require category selection","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","203","should delete live application when confirmation is accepted","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","245","should reject address exceeding 150 characters","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","5259","should logout user","chromium","2026-09-16","failed","2026-09-16","CRM Panel E2E","crm.spec.ts","",""
"","924","should display school navigation link in the header","chromium","2026-09-16","passed","2026-09-16","Ukrainian School Page","school.spec.ts","",""
"","245","should display separate content areas for new applications, archive, feedback, and live catalog","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","273","should have required attribute on mandatory fields","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","236","should accept valid URLs","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","1596","@T1 should auto-load specialist for editing when ?id=<spec-id> URL param is present","chromium","2026-09-16","passed","2026-09-16","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","5301","локація фільтрує за містом з адреси або типу локації","chromium","2026-09-16","failed","2026-09-16","","site.spec.js","",""
"","600","(@T20) should switch to email tab when email button is clicked","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","260","Security & Boundary: Обмеження довжини (Maxlength HTML5 enforced)","chromium","2026-09-16","passed","2026-09-16","Form E2E - Boundary Values, Pairwise & Validation","form.spec.ts","",""
"","658","(@T23) should close hamburger menu on Escape key","chromium","2026-09-16","passed","2026-09-16","Admin Panel E2E","admin.spec.ts","",""
"","233","should reject phone with invalid characters (letters)","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","193","catalog page should contain canonical link, Open Graph and Schema.org CollectionPage","chromium","2026-09-16","passed","2026-09-16","SEO & Search Indexing Optimization","seo.spec.ts","",""
"","30026","should open specialist modal and clear fields for new specialist","chromium","2026-09-16","broken","2026-09-16","CRM Panel E2E","crm.spec.ts","",""
"","1109","4. No duplicate categories in apply form","chromium","2026-09-16","failed","2026-09-16","Catalog Improvements","catalog-improvements.spec.ts","",""
"","30042","@T12 Report card should be saved with standard fields only after editing (auxiliary field not saved to DB)","chromium","2026-09-16","broken","2026-09-16","Error Reports Requirements (Звіти про помилки)","error-reports.spec.ts","",""
"","1040","перемикає мову на EN і назад на UA","chromium","2026-09-16","passed","2026-09-16","Language toggle (UA / EN)","i18n.spec.ts","",""
"","238","should require location selection","chromium","2026-09-16","passed","2026-09-16","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","30045","@T14 Opening admin via email link with feedback parameter auto-opens edit form with helper box","chromium","2026-09-16","broken","2026-09-16","Error Reports Requirements (Звіти про помилки)","error-reports.spec.ts","",""
"","809","@T4 should validate and submit inaccuracy report form","chromium","2026-09-16","passed","2026-09-16","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
